gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,charges_per_month,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_13-24,tenure_group_25-48,tenure_group_49-60,tenure_group_61-72
1,1,0,0,0.7536629957788878,1,1,0.4868036981131887,0.7347101293902735,0.4300532250483191,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,1,0,1.5677776925507676,1,0,0.8086839505135972,1.794572495349953,0.8286243433772796,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
0,0,0,1,1.1607203441648277,1,1,-1.3250171040581826,-0.3525494120021549,-1.3359399261617773,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
1,0,1,0,-0.9152721326034655,1,1,-0.3311703453579522,-0.7606531710524758,-0.2664646178807605,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,0,1.3642490183577978,1,0,-0.03583691789778363,0.8619928402549192,-0.010687267276686245,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,-0.3453918448631497,1,0,-0.14866092389380306,-0.37783911240161533,-0.1623606442703165,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0.1023712383613841,1,0,-0.30960105009400735,-0.12507382559659136,-0.24238108326266816,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,1.3235432835192036,1,1,1.495583045842304,2.123865469301261,1.4852411915516628,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
0,0,1,1,1.1607203441648277,0,1,-0.4722003528529765,0.3457273156940585,-0.4732581771107973,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
1,0,1,1,1.4456604880349857,1,0,0.5116913464946635,1.3495879232170855,0.46681526765865844,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,0,1,1,1.4863662228735797,1,0,-1.3432680462045974,-0.2560226649045615,-1.3247450217285102,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
0,0,1,1,1.6084834273893616,1,0,0.4685527559667738,1.5056947457349357,0.4849056852738058,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,1,1.1607203441648277,1,1,-0.5053838840282764,0.2898133687171265,-0.5423367238547876,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,1,0,1.2828375486806096,1,0,0.5100321699358986,1.1926468918318922,0.4454812397870889,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1.6084834273893616,1,1,0.6460846477546283,1.6662799526985235,0.6529895079375588,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
0,0,0,1,-0.2639803751859618,0,1,-1.1657361544167435,-0.6650923500118062,-1.1477707242340955,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,1,-1.2816237461508113,1,0,-1.3117436915880627,-0.9992588599775934,-1.3082488400896868,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,-0.1418631706701798,1,0,0.1981069768880804,-0.14783894652909185,0.09286830367615821,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
1,0,0,0,1.4456604880349857,1,0,0.4868036981131887,1.3874785680864161,0.5088081766893967,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,0,1,1,1.4049547531963917,1,1,0.8169798333074222,1.787745154356696,0.9986950669613169,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,1,-0.5489205190561197,1,1,-1.3283354571757127,-0.8050638168060421,-1.3341970107489196,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
1,0,1,1,1.3642490183577978,0,1,-0.2714399892424126,0.6177891707726292,-0.289531153683684,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
0,0,1,0,-1.1595065416350294,0,1,-1.1906238027982183,-0.9535090894632918,-1.0766309409166686,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,-0.9559778674420595,1,0,-1.4992306427285067,-0.9179234954116203,-1.3742415589810468,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
0,0,0,0,-0.38609757970174374,1,1,-1.5075265255223318,-0.8039661735595378,-1.4722515761500847,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
1,0,1,1,1.2421318138420157,1,0,0.6162194696968583,1.3758655025384001,0.7058289824697026,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
0,0,1,0,-0.30468611002455576,1,1,0.2030845065643751,-0.20355531772165308,0.28356171611253694,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,1,1,0,1.4863662228735797,0,0,-0.2780766954774726,0.7250289159561051,-0.253236502459047,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
1,0,1,1,0.428017117070136,1,1,0.873391836305432,0.7518772697656018,0.9399068217837037,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,1,-0.5489205190561197,0,1,-1.3134028681468275,-0.7618605786236307,-1.1628345951201602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0.30589991255435406,1,0,-1.5025489958460367,-0.6458835931979799,-1.4619024999875017,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
0,0,1,0,1.0386031396490458,1,1,0.642766294637098,1.1481703874835356,0.6560535008771523,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,0,0,0.346605647392948,1,1,0.12178485518489039,0.25277888558006945,0.17317762895892347,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,1.4456604880349857,1,1,1.233433149557435,2.1285633823962997,1.3301271935258205,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,1,1,0,1.5677776925507676,1,0,-1.3100845150292975,-0.22465202091946684,-1.3146567799561435,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
0,0,0,0,1.0386031396490458,1,1,0.4934404043482487,0.9771356168132265,0.4338201200326966,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,1.5677776925507676,1,1,-1.461069581876912,-0.35481055708995385,-1.4528119634769507,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,0,1,1,0.9978974048104517,1,1,1.0824480827098208,1.4474318422104844,1.1009256089024457,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
0,0,0,0,1.3642490183577978,1,1,-0.1254324520710933,0.7534798289054979,-0.1345928165853695,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,0,1.4456604880349857,1,0,-0.29964599074141746,0.6794328154963141,-0.2758947752042335,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1,0,1,0.9571916699718578,1,0,0.9911933719777464,1.3009184216670824,0.9617838304021992,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0
1,0,1,0,-0.06045170099299184,1,1,0.04878108659923111,-0.12360298364627556,0.007170049038552075,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,1,1,0.020959768684196134,1,1,-0.21502798624440272,-0.1518782736762278,-0.18806045499836155,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0,0,1,1,0.9978974048104517,1,0,-0.38094564212090193,0.3300310172690462,-0.37643668030891214,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,0,1,1.5270719577121736,1,0,0.0006649663950462456,0.9879583792237594,0.0027557381886120455,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,-1.2816237461508113,1,0,-1.472683817788267,-1.0013882878758118,-1.4687269559452782,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1,0,1,1,0.9164859351332638,1,1,-0.3212152860053623,0.3594039505455029,-0.27174370116710667,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
0,0,0,0,0.020959768684196134,1,1,-0.13372833486491825,-0.11743422860092108,-0.10940061001947314,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,0,0,1.5270719577121736,0,1,-0.82560495986992,0.21883975639815456,-0.8252782513549285,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,0.1023712383613841,1,1,-1.3051069853530026,-0.6147105249972561,-1.296667945131036,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,0,-0.06045170099299184,1,0,-1.477661347464562,-0.7429811147837556,-1.4985597683041991,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,-1.1595065416350294,1,1,-1.4677062881119718,-0.9736398666041817,-1.455905250812486,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1,0,1,0,1.5270719577121736,1,1,0.39886734049864436,1.312114382781427,0.3517424625956314,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
0,0,0,0,-0.5489205190561197,1,0,-1.4942531130522119,-0.8490354052610068,-1.508607030314166,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
0,0,1,1,-0.8338606629262776,1,0,-1.480979700582092,-0.9118425518259863,-1.5296645222753222,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1.6084834273893616,1,0,-1.5141632317573919,-0.3892326493003306,-1.4985064001246662,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0.18378270803857208,0,1,-0.8090131942822701,-0.3997480716018424,-0.9048849272634709,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
1,1,1,1,1.0386031396490458,1,1,0.8269348926600121,1.2400870329458107,0.7754850456847177,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,1,0,1.6084834273893616,1,0,0.10685226615600583,1.1008839164241278,0.061191988770784064,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
0,0,1,0,0.590840056424512,1,0,-1.5025489958460367,-0.6057976618356408,-1.499914411669791,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,1.1200146093262338,0,0,-0.37596811244460704,0.41083951307669725,-0.36355112061745076,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,0.7536629957788878,1,1,0.6278337056082129,0.8806527754454934,0.6457108992363059,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0
0,0,1,1,1.6084834273893616,1,0,1.4806504568134191,2.452543763034526,1.4759683449197833,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
1,0,1,0,1.6084834273893616,1,1,0.6742906492536329,1.6604185377621903,0.6468543909654167,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
0,0,1,1,0.7943687306174818,1,0,-1.3897249898500175,-0.4593500998870291,-1.3500545982645968,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
0,0,1,0,1.5677776925507676,1,0,0.9380997220972668,1.8461617279356577,0.8833831022360916,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
0,0,1,0,-0.1825689055087738,1,0,-1.3067661619117676,-0.7152765992419855,-1.3543360751292157,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0
1,1,1,0,1.5677776925507676,0,0,-0.6165487134655309,0.4619238297690101,-0.5858992551436536,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1,0,1,1,0.22448844287716607,1,1,0.6792681789299281,0.4371609981278717,0.7221519767961935,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
1,0,0,1,-0.30468611002455576,1,0,-1.464387934994442,-0.8083567465455552,-1.5396020330922215,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0
0,0,0,0,1.3235432835192036,0,0,-0.16525268948145297,0.71117665818522,-0.15265369083107366,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
0,0,0,0,-0.8338606629262776,1,0,-1.5141632317573919,-0.9099765583069288,-1.5179457595195445,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
0,0,1,0,1.2828375486806096,1,1,0.665994766459808,1.397554933089326,0.6867671182336238,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
1,0,1,0,1.5677776925507676,1,0,-0.3461029343868372,0.6484353702150307,-0.38792886566941187,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,1,0,1.6084834273893616,1,1,0.6626764133422782,1.6526033178470791,0.6386742350025597,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
1,1,0,0,-0.5896262538947137,1,1,-0.21668716280316785,-0.5867645279412551,-0.37497576540602473,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,1,1,0.06166550352279012,1,0,0.40716322329246935,0.1986650735274045,0.5312644078802264,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0.26519417771576004,1,0,0.5631258198163787,0.40324382181088697,0.5830003904653823,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,1,0,1.5270719577121736,1,0,-1.4959122896109767,-0.42718915276445135,-1.5207937143001924,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
0,0,1,1,1.6084834273893616,1,1,0.3125901594428645,1.2891077803346953,0.2582050708649764,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
1,0,1,1,1.6084834273893616,0,1,-0.004312563281248919,1.0618297697135028,0.020314186922688892,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1
1,0,0,0,0.631545791263106,1,0,0.46357522629047915,0.6454936863143992,0.4511510529439287,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0
1,0,1,1,1.6084834273893616,1,0,-1.3548822821159523,-0.24880017234256277,-1.3515163504213128,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1
1,0,0,0,-0.1418631706701798,0,0,-0.9732716736000042,-0.5394780568818474,-0.9248812828377944,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
0,0,1,1,0.9978974048104517,1,1,-0.18682198474539805,0.42721635031454214,-0.24794389338673767,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,0,-0.10115743583158582,1,0,1.510515634871189,0.45035466995085416,1.5208535040710311,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0
1,0,0,0,0.22448844287716607,1,0,0.16658262227154547,0.15640580853698668,0.16535473760000352,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
0,0,1,0,-0.7117434584104956,1,0,-1.4760021709057967,-0.8651707609846209,-1.4189842547419298,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0
0,0,0,0,-0.22327464034736777,1,1,-1.5042081724048018,-0.7640339122517091,-1.4610063593061775,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
0,0,1,0,0.30589991255435406,1,0,-1.5207999379924515,-0.6679023167228574,-1.5033869201429548,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
1,0,0,0,-0.7117434584104956,1,0,-1.497571466169742,-0.8766740622079866,-1.4767784352974829,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
0,0,1,1,1.5270719577121736,1,0,0.49012205123071895,1.5112268676973177,0.5661071917282106,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0.1023712383613841,1,1,1.0559012577695812,0.4838766946990973,1.0688125708516905,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
1,0,1,1,1.4863662228735797,1,1,0.473530285643069,1.3695650303034648,0.45072845817447454,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
1,0,0,0,-0.06045170099299184,1,1,0.24954145020979507,-0.0636936152520676,0.15281181098398242,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,1.3235432835192036,1,0,0.8833468956580218,1.6081048606337924,0.8872597714229933,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0,1,1,0.7536629957788878,1,1,0.1599459160364854,0.5537307109066347,0.16262213810401066,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0
0,0,1,1,0.7943687306174818,1,1,-0.46390447005915153,0.13581402123256484,-0.48750063336353905,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,1.4863662228735797,1,1,1.512174811429954,2.262958821498293,1.4264967837174514,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0,0,1,0.7129572609402939,1,1,0.19478862377055015,0.5166962277695776,0.1530284857928861,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
1,0,1,1,-0.6710377235719016,1,1,-0.30130516730018236,-0.6337875646215019,-0.3747459857441468,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,0,1,1,1.2828375486806096,1,0,1.6067478752795583,2.1607901881136677,1.58550143749125,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1
1,0,1,1,0.7536629957788878,1,0,0.6394479415195682,0.8774257043007704,0.6409422954298026,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0,1,0,1.2014260790034217,1,1,-0.15861598324639314,0.6374589377499872,-0.14567641714382704,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,1,0,1.5677776925507676,1,0,-1.3250171040581826,-0.2407434709132208,-1.33173685240019,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0.6722515261016999,1,0,-0.7011667179625456,-0.08573429164187506,-0.7265367723270142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,0,1,0,-0.3453918448631497,1,0,-1.4876164068171518,-0.7759982236386067,-1.4126147625146717,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0
1,0,1,1,1.6084834273893616,1,0,0.23792721429843983,1.1921858816683604,0.15675735014584216,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
